id,Type,Nationality,Name,No.
1,Distributor,Utd. States of America,Steak Holder,9648620075
2,Vendor,Utd. States of America,Orange Company,450927881
3,Partner & Responsible Manager,Indonesia,Glass Inc.,9630724200
4,Customer,Utd. Arab Emir.,Souk al Waha,1225372763
5,Distributor,Kuwait,Gulf Coffee,5688429208
6,Partner & Responsible Manager,Mexico,Las Tres Camareras,1364858223
7,Functional management,France,Le Voyage des Hommes,6587745784
8,Partner & Responsible Manager,Germany,Santas Gesselschaft,3104516529
9,Signatory,China,Huawang Electronics,6752439281
10,Distributor,Canada,Steak Grillers,2763347673
11,Signatory,Sudan,Cloths of Sudan,7714831898
12,Employee,Utd. States of America,McYeehaw's,5358021299
13,Functional management,Japan,Tokyo Sakura Sweets,3231668255
14,Supplier,Iran,Isfahan Gold,9039208034
15,Functional management,India,Spices of Delhi,1363083694
16,Functional management,China,Guangdong Toy Productions,3411343389
17,Signatory,Brazil,As Aboboras,5639103973
18,Employee,Poland,Singr,5361006467
19,Supplier,Sweden,Helmskr,8515361019
20,Partner & Responsible Manager,Norway,Fjord Chocolates,3617150616
21,Supplier,Palestine,Desert Flowers,6919309246
22,Partner & Responsible Manager,Indian,Hyderabad Indian Furniture,2575844657
23,Project manager,Philippines,Pagkain ni Tito Lito,8766189292
24,Distributor,Argentina,Dulces del Sur,6659093990
25,Sponsors,Nigeria,Nigerian Paper Productions,9327907795
26,Partner & Responsible Manager,United Kingdom,The Queenâ€™s Teacup,7350612907
27,Customer,Norway,Jewels of Oslo,8188032697
28,Customer,Colombia,El Magnificente,6242197235
29,Vendor,Sweden,Valhallas Mat,7587782052
30,Signatory,Philippines,Philippine Music Productions,5556696489
31,Sponsors,Chile,Chili de Chile,458156949
32,Employee,Utd. States of America,Big American Burgers,951863371
33,Functional management,South Korea,Seoul Electrika,4767123089
34,Project manager,Greenland,NoX,3454661927
35,Distributor,Japan,Kimi no Denwa,1020473886
36,Functional management,Japan,Huhuso,2736771419
37,Distributor,Utd. Arab Emir.,Maa' al Waha,7670890371
38,Distributor,Japan,Kuchiso,8963202070
39,Functional management,Utd. Arab Emir.,Akbar Oud,891699198
40,Vendor,Utd. States of America,American Diabetes Services,2443172082
41,Vendor,India,Bollywood Essentials,1308973306
42,Project manager,Thailand,Thai Coconut,9805193497
43,Supplier,Russia,Maya Babochka,3996209681
44,Vendor,Mexico,Cinco de Mayonesa,3579153420
45,Employee,Canada,myPet,4167362287
46,Vendor,Nepal,Nepalese Glassware,8717229227
47,Sponsors,India,Food for Poor College Students,3972377991
48,Sponsors,Sweden,Taste of Sweden,6420311055
49,Project team,Italy,Italian Nights,8375952192
50,Supplier,Egypt,Egyptian Fabrics,9179931928
